"","Feature","Importance"
"1","Substrate",0.0358646272325726
"2","Year",-0.00827440411248725
"3","Open_Water",0.0255376754137109
"4","Developed",-0.0132596857257113
"5","Barren_Land",0.000343997600883439
"6","Deciduous_Forest",0.00733895554199104
"7","Evergreen_Forest",-0.0139743552172527
"8","Mixed_Forest",0.0251524795666765
"9","Shrub_Scrub",-0.00376014674483172
"10","Herbaceous",0.00376594136367314
"11","Hay_Pasture",0.0153983217117142
"12","Cultivated_Crops",-0.00246831785825286
"13","Wetlands",0.00699272333407752
"14","D",-0.00202919411689151
"15","GrowingSeason",-0.0033171096335054
"16","DailyAvgTemp",-0.0101565298355977
"17","AvgPDSI",-0.0113559561594639
"18","random",-0.0105821003202474
